"condition","airship_type","trial_number","trial_in_condition","colour","true_mean","outcome"
"Full","stable",1,1,"Blue",60,59.5623441346595
"Full","stable",2,2,"Blue",60,65.0854743155543
"Full","volatile",3,3,"Green",46.2917505657519,46.0236601249089
"Full","volatile",4,4,"Green",38.3163126348353,37.8353706715476
"Full","volatile",5,5,"Green",16.0794696468821,20.0330173468491
"Full","volatile",6,6,"Green",26.3921404866213,23.8519551547607
"Full","stable",7,7,"Blue",60,63.7942122555851
"Full","stable",8,8,"Blue",60,58.4604671840037
"Full","volatile",9,9,"Green",28.4677153039396,28.8080939155377
"Full","volatile",10,10,"Green",27.3355289084085,24.1540567692913
"Full","stable",11,11,"Blue",60,58.4077297187445
"Full","volatile",12,12,"Green",28.689077217199,32.1959469973562
"Full","stable",13,13,"Blue",60,63.4473254867599
"Full","stable",14,14,"Blue",60,63.912003161214
"Full","stable",15,15,"Blue",60,59.7355324445356
"Full","volatile",16,16,"Green",51.1183362371347,56.1488596245019
"Full","stable",17,17,"Blue",60,57.8911264840256
"Full","stable",18,18,"Blue",60,58.5286193569661
"Full","volatile",19,19,"Green",60.999043561134,63.4989245990753
"Full","stable",20,20,"Blue",60,60.0986411439223
"Full","volatile",21,21,"Green",77.0181397387037,81.6061100740856
"Full","volatile",22,22,"Green",83.0370123954045,86.0284425198107
"Full","stable",23,23,"Blue",60,59.9990388460149
"Full","volatile",24,24,"Green",80.9732597531803,81.6545570744226
"Full","stable",25,25,"Blue",60,61.121058231172
"Full","stable",26,26,"Blue",60,65.7416054684416
"Full","volatile",27,27,"Green",81.6654749241878,81.2899291585152
"Full","volatile",28,28,"Green",73.0059761565609,74.6247399722196
"Full","volatile",29,29,"Green",66.7005983844048,67.5088867291695
"Full","stable",30,30,"Blue",60,62.7587475739263
"Full","stable",31,31,"Blue",60,61.8397220742516
"Full","stable",32,32,"Blue",60,61.5313285072262
"Full","volatile",33,33,"Green",66.7171241779054,66.744194747119
"Full","volatile",34,34,"Green",76.6684707666462,80.3379265681144
"Full","stable",35,35,"Blue",60,58.7082782661464
"Full","volatile",36,36,"Green",70.3184171397112,74.3914896320598
"Full","stable",37,37,"Blue",60,54.805754150395
"Full","volatile",38,38,"Green",61.1943425215656,57.2580702320543
"Full","stable",39,39,"Blue",60,66.2960587432499
"Full","volatile",40,40,"Green",66.4220744757374,64.7391790165932
"Partial","volatile",41,1,"Yellow",56.7214929164598,54.7353724572864
"Partial","volatile",42,2,"Yellow",62.2602928968172,67.0306175725951
"Partial","volatile",43,3,"Yellow",73.9759113186739,72.0308409849078
"Partial","stable",44,4,"Red",60,56.5769817284648
"Partial","volatile",45,5,"Yellow",62.3845958242072,66.8894503952756
"Partial","stable",46,6,"Red",60,61.4510289506301
"Partial","volatile",47,7,"Yellow",67.6487232604789,67.5751193222061
"Partial","volatile",48,8,"Yellow",72.8985639768749,69.4520685189533
"Partial","volatile",49,9,"Yellow",68.6887710163356,65.1149724536783
"Partial","stable",50,10,"Red",60,59.3645278359818
"Partial","volatile",51,11,"Yellow",60.2178979911039,58.557579373204
"Partial","stable",52,12,"Red",60,63.6071032953599
